x_coordinate,y_coordinate,z_coordinate
-1422.223635,613.347184,0.000000
-1421.836525,612.425150,0.000000
-1421.448493,611.503502,0.000000
-1421.059542,610.582243,0.000000
-1420.669670,609.661372,0.000000
-1420.278878,608.740892,0.000000
-1419.887167,607.820803,0.000000
-1419.494537,606.901105,0.000000
-1419.100988,605.981800,0.000000
-1418.706521,605.062889,0.000000
-1418.311137,604.144372,0.000000
-1417.914834,603.226251,0.000000
-1417.517615,602.308526,0.000000
-1417.119479,601.391199,0.000000
-1416.720427,600.474270,0.000000
-1416.320459,599.557740,0.000000
-1415.919575,598.641610,0.000000
-1415.517777,597.725881,0.000000
-1415.115063,596.810555,0.000000
-1414.711435,595.895631,0.000000
-1414.306893,594.981111,0.000000
-1413.901438,594.066996,0.000000
-1413.495069,593.153286,0.000000
-1413.087787,592.239984,0.000000
-1412.679593,591.327088,0.000000
-1412.270487,590.414601,0.000000
-1411.860469,589.502524,0.000000
-1411.449540,588.590857,0.000000
-1411.037700,587.679601,0.000000
-1410.624949,586.768757,0.000000
-1410.211288,585.858327,0.000000
-1409.796717,584.948310,0.000000
-1409.381237,584.038708,0.000000
-1408.964848,583.129522,0.000000
-1408.547550,582.220753,0.000000
-1408.129344,581.312402,0.000000
-1407.710231,580.404469,0.000000
-1407.290209,579.496956,0.000000
-1406.869281,578.589863,0.000000
-1406.447446,577.683192,0.000000
-1406.024704,576.776943,0.000000
-1405.601057,575.871118,0.000000
-1405.176504,574.965716,0.000000
-1404.751045,574.060740,0.000000
-1404.324682,573.156189,0.000000
-1403.897415,572.252066,0.000000
-1403.469243,571.348371,0.000000
-1403.040168,570.445104,0.000000
-1402.610190,569.542267,0.000000
-1402.179308,568.639861,0.000000
-1401.747524,567.737886,0.000000
-1401.314839,566.836344,0.000000
-1400.881251,565.935235,0.000000
-1400.446762,565.034561,0.000000
-1400.011372,564.134321,0.000000
-1399.575081,563.234519,0.000000
-1399.137890,562.335153,0.000000
-1398.699800,561.436225,0.000000
-1398.260809,560.537736,0.000000
-1397.820920,559.639687,0.000000
-1397.380132,558.742079,0.000000
-1396.938446,557.844913,0.000000
-1396.495862,556.948190,0.000000
-1396.052381,556.051910,0.000000
-1395.608002,555.156074,0.000000
-1395.162726,554.260684,0.000000
-1394.716554,553.365740,0.000000
-1394.269487,552.471244,0.000000
-1393.821523,551.577196,0.000000
-1393.372664,550.683597,0.000000
-1392.922911,549.790448,0.000000
-1392.472263,548.897750,0.000000
-1392.020721,548.005505,0.000000
-1391.568285,547.113712,0.000000
-1391.114956,546.222372,0.000000
-1390.660734,545.331488,0.000000
-1390.205619,544.441059,0.000000
-1389.749613,543.551086,0.000000
-1389.292715,542.661571,0.000000
-1388.834926,541.772514,0.000000
-1388.376247,540.883915,0.000000
-1387.916679,539.995777,0.000000
-1387.456220,539.108099,0.000000
-1386.994873,538.220883,0.000000
-1386.532638,537.334130,0.000000
-1386.069515,536.447839,0.000000
-1385.605505,535.562013,0.000000
-1385.140608,534.676651,0.000000
-1384.674825,533.791756,0.000000
-1384.208157,532.907327,0.000000
-1383.740603,532.023365,0.000000
-1383.272165,531.139872,0.000000
-1382.802842,530.256849,0.000000
-1382.332636,529.374295,0.000000
-1381.861547,528.492212,0.000000
-1381.389576,527.610601,0.000000
-1380.916722,526.729463,0.000000
-1380.442987,525.848798,0.000000
-1379.968371,524.968608,0.000000
-1379.492875,524.088892,0.000000
-1379.016499,523.209653,0.000000
-1378.539243,522.330891,0.000000
-1378.061109,521.452606,0.000000
-1377.582096,520.574800,0.000000
-1377.102206,519.697474,0.000000
-1376.621438,518.820628,0.000000
-1376.139793,517.944263,0.000000
-1375.657273,517.068380,0.000000
-1375.173876,516.192980,0.000000
-1374.689605,515.318064,0.000000
-1374.204458,514.443632,0.000000
-1373.718438,513.569686,0.000000
-1373.231544,512.696226,0.000000
-1372.743777,511.823253,0.000000
-1372.255137,510.950768,0.000000
-1371.765625,510.078772,0.000000
-1371.275242,509.207266,0.000000
-1370.783988,508.336251,0.000000
-1370.291863,507.465726,0.000000
-1369.798868,506.595694,0.000000
-1369.305004,505.726156,0.000000
-1368.810271,504.857111,0.000000
-1368.314670,503.988561,0.000000
-1367.818200,503.120506,0.000000
-1367.320864,502.252949,0.000000
-1366.822660,501.385888,0.000000
-1366.323591,500.519326,0.000000
-1365.823655,499.653263,0.000000
-1365.322854,498.787700,0.000000
-1364.821189,497.922638,0.000000
-1364.318659,497.058077,0.000000
-1363.815266,496.194019,0.000000
-1363.311010,495.330464,0.000000
-1362.805890,494.467414,0.000000
-1362.299909,493.604869,0.000000
-1361.793066,492.742829,0.000000
-1361.285363,491.881296,0.000000
-1360.776798,491.020271,0.000000
-1360.267374,490.159755,0.000000
-1359.757090,489.299748,0.000000
-1359.245947,488.440251,0.000000
